Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder,Round,Average_Neophobia,R2_Minus_R1
4,4019,M,0,208.06,900,1,0,4,4,1,4,1,713.7475,
4,4020,M,0,14.565,900,1,0,1,1,1,1,1,684.56375,
4,4020,M,0,19.245,38.255,1,1,2,2,1,4,1,684.56375,
4,4020,M,0,900,900,0,0,3,3,1,6,1,684.56375,
4,4020,M,0,900,900,0,0,4,4,1,5,1,684.56375,
4,4021,F,0,868.245,900,1,0,1,1,1,4,1,729.49125,
4,4021,F,0,50.374,217.965,1,1,2,2,1,6,1,729.49125,
4,4021,F,0,900,900,0,0,3,3,1,3,1,729.49125,
4,4021,F,0,900,900,0,0,4,4,1,2,1,729.49125,
5,3931,F,0,47.3,306.96,1,1,1,1,1,3,1,137.7155,
5,3931,F,0,12.799,18.249,1,1,2,2,1,2,1,137.7155,
5,3931,F,0,69.901,75.378,1,1,3,3,1,6,1,137.7155,
5,3931,F,0,135.399,150.275,1,1,4,4,1,1,1,137.7155,
5,3932,M,0,900,900,0,0,1,1,1,5,1,715.08625,
5,3932,M,0,142.075,160.345,1,1,2,2,1,4,1,715.08625,
5,3932,M,0,900,900,0,0,3,3,1,2,1,715.08625,
5,3932,M,0,900,900,0,0,4,4,1,1,1,715.08625,
5,3933,F,0,297.154,900,1,0,1,1,1,6,1,677.171,
5,3933,F,0,6.15,8.684,1,1,2,2,1,2,1,677.171,
5,3933,F,0,900,900,0,0,3,3,1,4,1,677.171,
5,3933,F,0,900,900,0,0,4,4,1,5,1,677.171,
5,3934,M,0,469.8,900,1,0,1,1,1,6,1,900,
5,3934,M,0,900,900,0,0,2,2,1,3,1,900,
5,3934,M,0,900,900,0,0,3,3,1,2,1,900,
5,3934,M,0,197.449,900,1,0,4,4,1,4,1,900,
6,3935,F,1,579.582,900,1,0,1,1,1,3,1,737.79525,
6,3935,F,1,7.776,251.181,1,1,2,2,1,1,1,737.79525,
6,3935,F,1,882.96,900,1,0,3,3,1,2,1,737.79525,
6,3935,F,1,115.735,900,1,0,4,4,1,4,1,737.79525,
6,3936,M,1,900,900,0,0,1,1,1,1,1,621.9685,
6,3936,M,1,17.215,21.808,1,1,2,2,1,5,1,621.9685,
6,3936,M,1,900,900,0,0,3,3,1,3,1,621.9685,
6,3936,M,1,218.465,666.066,1,1,4,4,1,4,1,621.9685,
6,3937,M,1,900,900,0,0,1,1,1,3,1,574.55325,
6,3937,M,1,51.855,488.695,1,1,2,2,1,4,1,574.55325,
6,3937,M,1,93.695,127.574,1,1,3,3,1,5,1,574.55325,
6,3937,M,1,775.684,781.944,1,1,4,4,1,2,1,574.55325,
6,3938,M,1,900,900,0,0,1,1,1,2,1,564.3705,
6,3938,M,1,138.005,142.206,1,1,2,2,1,6,1,564.3705,
6,3938,M,1,469.115,900,1,0,3,3,1,4,1,564.3705,
6,3938,M,1,308.456,315.276,1,1,4,4,1,1,1,564.3705,
7.2,4063,F,1,38.625,900,1,0,1,1,1,1,1,464.25225,-218.66225
7.2,4063,F,1,5.225,9.115,1,1,2,2,1,4,1,464.25225,-218.66225
7.2,4063,F,1,0,900,1,1,3,3,1,5,1,464.25225,-218.66225
7.2,4063,F,1,0,47.894,1,1,4,4,1,3,1,464.25225,-218.66225
7.2,4063,F,1,21.52,67.64,1,1,1,7,1,1,2,245.59,-218.66225
7.2,4063,F,1,1.72,2.42,1,1,2,8,1,5,2,245.59,-218.66225
7.2,4063,F,1,900,900,0,0,3,9,1,2,2,245.59,-218.66225
7.2,4063,F,1,10.2,12.3,1,1,4,10,1,3,2,245.59,-218.66225
7.2,4068,F,1,70.114,900,1,0,1,1,1,2,1,256.219,-232.094
7.2,4068,F,1,0,6.361,1,1,2,2,1,4,1,256.219,-232.094
7.2,4068,F,1,74.82,76.735,1,1,3,3,1,6,1,256.219,-232.094
7.2,4068,F,1,23.351,41.78,1,1,4,4,1,5,1,256.219,-232.094
7.2,4068,F,1,2.62,3.35,1,1,1,7,1,6,2,24.125,-232.094
7.2,4068,F,1,0,0.15,1,1,2,8,1,4,2,24.125,-232.094
7.2,4068,F,1,91.17,91.61,1,1,3,9,1,2,2,24.125,-232.094
