Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder
14,4161,M,0,119.19,,1,1,2,8,1,2
14,4161,M,0,4.77,6.6,1,1,5,5,0,3
14,4163,M,0,2.54,19.24,1,1,5,5,0,1
14,4163,M,0,22.95,278.92,1,1,1,7,1,2
14,4163,M,0,900,900,0,0,2,8,1,4
14,4163,M,0,900,900,0,0,3,9,1,5
14,4163,M,0,23.49,41.72,1,1,4,10,1,6
14,4164,M,0,900,900,0,0,3,9,1,1
14,4164,M,0,159.33,171.04,1,1,2,8,1,2
14,4164,M,0,1.58,46.79,1,1,1,7,1,6
14,4165,F,0,900,900,0,0,3,9,1,1
14,4165,F,0,0,11.01,1,1,5,5,0,3
14,4165,F,0,270.1,687.46,1,1,1,7,1,4
14,4165,F,0,0,44.39,1,1,4,10,1,5
14,4165,F,0,1.95,29.49,1,1,2,8,1,6
14,4166,M,0,900,900,0,0,3,9,1,2
14,4166,M,0,117.39,119.87,1,1,4,10,1,3
14,4166,M,0,22.71,42.51,1,1,5,5,0,4
14,4166,M,0,30.59,59.62,1,1,1,7,1,5
14,4166,M,0,31.61,32.35,1,1,2,8,1,6
15,4129,M,1,7.21,65.96,1,1,2,8,1,1
15,4129,M,1,874.65,900,1,0,3,9,1,2
15,4129,M,1,0,61.17,1,1,1,7,1,3
15,4129,M,1,0,0,1,1,4,10,1,5
15,4129,M,1,0,0,1,1,5,5,0,6
15,4130,F,1,14.3,900,1,0,2,8,1,1
15,4130,F,1,4.11,7.11,1,1,5,5,0,2
15,4130,F,1,0,211.74,1,1,1,7,1,3
15,4130,F,1,790.22,900,1,0,3,9,1,5
15,4130,F,1,12.37,20.9,1,1,4,10,1,6
15,4131,F,1,900,900,0,0,3,9,1,1
15,4131,F,1,69.64,71.28,1,1,2,8,1,2
15,4131,F,1,0,0,1,1,5,5,0,4
15,4132,M,1,900,900,0,0,2,8,1,1
15,4132,M,1,0,900,1,0,1,7,1,2
15,4132,M,1,7.53,10.49,1,1,4,10,1,4
15,4133,M,1,0,2.66,1,1,5,5,0,1
15,4133,M,1,534.2,542.01,1,1,4,10,1,3
15,4133,M,1,37.61,145.08,1,1,1,7,1,4
15,4133,M,1,18.74,38.13,1,1,2,8,1,6
16,4059,M,0,900,900,0,0,3,9,1,1
16,4059,M,0,29.52,900,1,0,1,7,1,2
16,4059,M,0,0,0,1,1,5,5,0,3
16,4059,M,0,3.46,3.68,1,1,2,8,1,5
16,4059,M,0,5.01,6.41,1,1,4,10,1,6
16,4060,M,0,244.27,388.42,1,1,3,9,1,1
