Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Object_noobject,TrialOrder,Age
6,3936,M,1,218.465,666.066,1,1,4,1,4,0
6,3937,M,1,12,17.96,1,1,0,0,1,0
6,3937,M,1,775.684,781.944,1,1,4,1,2,0
6,3937,M,1,93.695,127.574,1,1,3,1,5,0
6,3938,M,1,308.456,315.276,1,1,4,1,1,0
6,3938,M,1,3.57,6.17,1,1,0,0,3,0
6,3938,M,1,469.115,900,1,0,3,1,4,0
7.2,4063,F,1,0,0,1,1,0,0,2,0
7.2,4063,F,1,0,47.894,1,1,4,1,3,0
7.2,4063,F,1,0,900,1,1,3,1,5,0
7.2,4068,F,1,0.924,1.449,1,1,0,0,3,0
7.2,4068,F,1,23.351,41.78,1,1,4,1,5,0
7.2,4068,F,1,74.82,76.735,1,1,3,1,6,0
8.2,4037,M,0,342.085,589.92,1,1,3,1,2,0
8.2,4037,M,0,0.295,2.51,1,1,0,0,3,0
8.2,4037,M,0,19.14,21.411,1,1,4,1,4,0
8.2,4038,M,0,72.65,75.245,1,1,0,0,1,0
8.2,4038,M,0,900,900,0,0,3,1,3,0
8.2,4038,M,0,4.7,12.895,1,1,4,1,5,0
9,4048,M,0,168.785,565.57,1,1,4,1,1,0
9,4049,M,0,79.76,91.42,1,1,3,1,1,0
9,4049,M,0,1.75,5.519,1,1,0,0,2,0
9,4049,M,0,6.506,8.4,1,1,4,1,3,0
9,4052,F,0,13.751,14.875,1,1,0,0,1,0
9,4052,F,0,445.405,775.62,1,1,3,1,3,0
9,4052,F,0,21.055,24.969,1,1,4,1,5,0
10,4065,F,1,11.91,13.65,1,1,0,0,2,0
10,4065,F,1,900,900,0,0,4,1,3,0
10,4065,F,1,900,900,0,0,4,1,5,0
10,4065,F,1,900,900,0,0,3,1,6,0
10,4066,F,1,900,900,0,0,3,1,1,0
10,4066,F,1,900,900,0,0,4,1,2,0
10,4066,F,1,0,3.67,1,1,0,0,4,0
10,4067,M,1,28.851,900,1,0,3,1,1,0
10,4067,M,1,61.349,771.484,1,1,4,1,3,0
10,4067,M,1,5.4,23.509,1,1,0,0,6,0
11,4074,F,1,177.711,627.672,1,1,3,1,1,0
11,4074,F,1,3.519,4.475,1,1,0,0,2,0
11,4074,F,1,279.94,280.725,1,1,4,1,5,0
11,4075,M,1,900,900,0,0,3,1,2,0
11,4075,M,1,7.279,11.029,1,1,0,0,3,0
11,4075,M,1,52.77,62.404,1,1,4,1,4,0
11,4076,M,1,0,1.064,1,1,0,0,1,0
11,4076,M,1,871.325,900,1,0,4,1,2,0
11,4076,M,1,900,900,0,0,3,1,6,0
12,4069,F,0,0,8.046,1,1,0,0,1,0
12,4069,F,0,269.785,828.129,1,1,3,1,3,0
12,4069,F,0,274.349,332.874,1,1,4,1,6,0
12,4070,M,0,864.371,900,1,0,3,1,1,0
12,4070,M,0,46.451,136.849,1,1,4,1,2,0
12,4070,M,0,0,0,1,1,0,0,6,0
12,4071,F,0,0,0,1,1,4,1,4,0
12,4071,F,0,0,0,1,1,0,0,5,0
12,4071,F,0,217.454,507.004,1,1,3,1,6,0
12,4072,F,0,22.629,28.55,1,1,4,1,1,0
12,4072,F,0,900,900,0,0,3,1,4,0
12,4072,F,0,0,1.694,1,1,0,0,5,0
12,4073,M,0,900,900,0,0,3,1,3,0
12,4073,M,0,2.02,3.883,1,1,0,0,5,0
12,4073,M,0,427.911,900,1,0,4,1,6,0
14,4161,M,0,900,900,0,0,4,1,1,0
14,4161,M,0,241.626,243.801,1,1,0,0,2,0
14,4161,M,0,900,900,0,0,3,1,5,0
14,4163,M,0,177.026,472.55,1,1,4,1,1,0
14,4163,M,0,753.766,760.065,1,1,3,1,2,0
14,4163,M,0,0,0,1,1,0,0,3,0
14,4164,M,0,0,4.666,1,1,4,1,2,0
14,4164,M,0,0,0,1,1,0,0,3,0
14,4164,M,0,27.725,552.123,1,1,3,1,4,0
14,4165,F,0,0,0,1,1,0,0,3,0
14,4165,F,0,138.046,900,1,0,3,1,5,0
14,4165,F,0,25.955,46.265,1,1,4,1,6,0
14,4166,M,0,8.92,9.335,1,1,0,0,2,0
14,4166,M,0,900,900,0,0,3,1,3,0
14,4166,M,0,90.24,754,1,1,4,1,5,0
15,4129,M,1,0,0,1,1,0,0,2,0
15,4129,M,1,900,900,0,0,4,1,5,0
15,4129,M,1,66.32,69.296,1,1,3,1,6,0
15,4130,F,1,197.369,900,1,0,4,1,3,0
15,4130,F,1,0,2.385,1,1,0,0,5,0
15,4130,F,1,900,900,0,0,3,1,6,0
15,4131,F,1,0,1.418,1,1,0,0,2,0
15,4131,F,1,91.13,143.286,1,1,3,1,4,0
15,4131,F,1,42.034,143.354,1,1,4,1,6,0
15,4132,M,1,11.571,12.74,1,1,0,0,1,0
15,4132,M,1,64.41,891.076,1,1,4,1,2,0
15,4132,M,1,157.184,806.919,1,1,3,1,6,0
16,4059,M,0,0,0,1,1,4,1,1,0
16,4059,M,0,0,0,1,1,0,0,3,0
16,4059,M,0,5.609,25.517,1,1,3,1,5,0
