Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Startle_nostartle,TrialOrder,Round,R2_Minus_R1
23,4136,M,0,2.965,3.935,1,1,1,6,1,
23,4137,M,0,8.975,11.521,1,1,1,4,1,8.329
23,4137,M,0,13.76,19.85,1,1,1,3,2,
23,4138,F,0,0.085,2.011,1,1,1,3,1,4.959
23,4138,F,0,0,6.97,1,1,1,2,2,
25,4146,F,1,0,0,1,1,1,1,1,35.57
25,4146,F,1,32.79,35.57,1,1,1,1,2,
25,4148,M,1,0,2.714,1,1,1,6,1,-1.264
25,4148,M,1,0,1.45,1,1,1,6,2,
27,4142,M,0,0,0,1,1,1,3,1,
27,4143,F,0,2.45,3.915,1,1,1,3,1,-1.715
27,4143,F,0,0,2.2,1,1,1,3,2,
27,4144,F,0,1.574,4.648,1,1,1,2,1,-0.788
27,4144,F,0,0,3.86,1,1,1,2,2,
27,4147,F,0,1.024,3.824,1,1,1,1,1,
29,4153,M,1,0,2.25,1,1,1,3,1,
29,4158,F,1,6.605,8.406,1,1,1,1,1,
