Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Startle_nostartle,TrialOrder
23,4138,F,0,25.605,27.18,1,1,0,1
25,4146,F,1,0,24.11,1,1,0,6
25,4146,F,1,0,0,1,1,1,1
25,4148,M,1,18.66,21.46,1,1,0,3
25,4148,M,1,0,2.714,1,1,1,6
25,4151,F,1,0,0,1,1,0,4
27,4142,M,0,0,0,1,1,1,3
27,4142,M,0,0,0,1,1,0,4
27,4143,F,0,2.45,3.915,1,1,1,3
27,4143,F,0,0.205,2.621,1,1,0,4
27,4144,F,0,1.574,4.648,1,1,1,2
27,4144,F,0,0,0,1,1,0,4
27,4147,F,0,1.024,3.824,1,1,1,1
29,4153,M,1,0,2.25,1,1,1,3
29,4153,M,1,0,229.399,1,1,0,4
29,4158,F,1,6.605,8.406,1,1,1,1
29,4158,F,1,0,0,1,1,0,6
