Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Object_noobject,TrialOrder,Age
10,4065,F,1,900,900,0,0,4,1,5,0
10,4065,F,1,900,900,0,0,3,1,6,0
10,4066,F,1,900,900,0,0,3,1,1,0
10,4066,F,1,900,900,0,0,4,1,2,0
10,4067,M,1,28.851,900,1,0,3,1,1,0
10,4067,M,1,61.349,771.484,1,1,4,1,3,0
11,4074,F,1,177.711,627.672,1,1,3,1,1,0
11,4074,F,1,279.94,280.725,1,1,4,1,5,0
11,4075,M,1,900,900,0,0,3,1,2,0
11,4075,M,1,52.77,62.404,1,1,4,1,4,0
11,4076,M,1,871.325,900,1,0,4,1,2,0
11,4076,M,1,900,900,0,0,3,1,6,0
12,4069,F,0,269.785,828.129,1,1,3,1,3,0
12,4069,F,0,274.349,332.874,1,1,4,1,6,0
12,4070,M,0,864.371,900,1,0,3,1,1,0
12,4070,M,0,46.451,136.849,1,1,4,1,2,0
12,4071,F,0,0,0,1,1,4,1,4,0
12,4071,F,0,217.454,507.004,1,1,3,1,6,0
12,4072,F,0,22.629,28.55,1,1,4,1,1,0
12,4072,F,0,900,900,0,0,3,1,4,0
12,4073,M,0,900,900,0,0,3,1,3,0
12,4073,M,0,427.911,900,1,0,4,1,6,0
14,4161,M,0,900,900,0,0,4,1,1,0
14,4161,M,0,900,900,0,0,3,1,5,0
14,4163,M,0,177.026,472.55,1,1,4,1,1,0
14,4163,M,0,753.766,760.065,1,1,3,1,2,0
14,4164,M,0,0,4.666,1,1,4,1,2,0
14,4164,M,0,27.725,552.123,1,1,3,1,4,0
14,4165,F,0,138.046,900,1,0,3,1,5,0
14,4165,F,0,25.955,46.265,1,1,4,1,6,0
14,4166,M,0,900,900,0,0,3,1,3,0
14,4166,M,0,90.24,754,1,1,4,1,5,0
15,4129,M,1,900,900,0,0,4,1,5,0
15,4129,M,1,66.32,69.296,1,1,3,1,6,0
15,4130,F,1,197.369,900,1,0,4,1,3,0
15,4130,F,1,900,900,0,0,3,1,6,0
15,4131,F,1,91.13,143.286,1,1,3,1,4,0
15,4131,F,1,42.034,143.354,1,1,4,1,6,0
15,4132,M,1,64.41,891.076,1,1,4,1,2,0
15,4132,M,1,157.184,806.919,1,1,3,1,6,0
16,4059,M,0,0,0,1,1,4,1,1,0
16,4059,M,0,5.609,25.517,1,1,3,1,5,0
16,4060,M,0,50.63,52.545,1,1,3,1,3,0
16,4060,M,0,0.755,5.697,1,1,4,1,5,0
16,4061,F,0,0,0,1,1,4,1,5,0
16,4061,F,0,81.234,88.846,1,1,3,1,2,0
17,4086,M,1,71.234,205.434,1,1,4,1,2,0
17,4086,M,1,26.494,30.88,1,1,3,1,5,0
17,4087,M,1,633.475,635.045,1,1,4,1,2,0
19,4094,F,0,307.175,367.117,1,1,4,1,1,0
19,4095,F,0,100.014,469.375,1,1,4,1,2,0
19,4095,F,0,23.984,26.241,1,1,3,1,4,0
19,4099,M,0,0,35.626,1,1,3,1,2,0
19,4099,M,0,8.676,10.12,1,1,4,1,6,0
20,4090,M,1,159.869,473.828,1,1,3,1,2,0
20,4090,M,1,0,0,1,1,4,1,3,0
20,4091,F,1,900,900,0,0,3,1,3,0
20,4091,F,1,601.534,603.719,1,1,4,1,5,0
22,4140,M,1,150.14,900,1,0,4,1,1,0
22,4140,M,1,900,900,0,0,3,1,5,0
22,4141,M,1,900,900,0,0,3,1,1,0
22,4145,F,1,900,900,0,0,3,1,4,0
