Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder
12,4069,F,0,198.114,300.172,1,1,4,10,1,4
12,4070,M,0,19.354,42.68,1,1,4,10,1,4
12,4071,F,0,206.08,213.99,1,1,4,10,1,1
12,4072,F,0,173.07,175.432,1,1,4,10,1,1
14,4163,M,0,23.49,41.72,1,1,4,10,1,6
14,4165,F,0,0,44.39,1,1,4,10,1,5
14,4166,M,0,117.39,119.87,1,1,4,10,1,3
15,4129,M,1,0,0,1,1,4,10,1,5
15,4130,F,1,12.37,20.9,1,1,4,10,1,6
15,4132,M,1,7.53,10.49,1,1,4,10,1,4
15,4133,M,1,534.2,542.01,1,1,4,10,1,3
16,4059,M,0,5.01,6.41,1,1,4,10,1,6
16,4060,M,0,0,0,1,1,4,10,1,5
16,4061,F,0,22.51,29.42,1,1,4,10,1,3
17,4087,M,1,0,0,1,1,4,10,1,5
19,4095,F,0,0,12.259,1,1,4,10,1,1
19,4099,M,0,0,2.702,1,1,4,10,1,6
20,4089,M,1,21.41,23.315,1,1,4,10,1,4
20,4091,F,1,55.33,412.619,1,1,4,10,1,1
22,4140,M,1,35.93,42.08,1,1,4,10,1,6
22,4141,M,1,93.98,2.85,1,1,4,10,1,2
23,4134,M,0,31.32,102.3,1,1,4,10,1,2
23,4136,M,0,17.38,18.92,1,1,4,10,1,5
23,4137,M,0,28.82,65.35,1,1,4,10,1,1
23,4138,F,0,0,2.01,1,1,4,10,1,4
25,4146,F,1,125.95,131.2,1,1,4,10,1,6
27,4142,M,0,0,0,1,1,4,10,1,6
27,4143,F,0,0,4.34,1,1,4,10,1,2
27,4144,F,0,12.86,17.06,1,1,4,10,1,5
29,4153,M,1,151.84,164.23,1,1,4,10,1,5
