Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Object_noobject,TrialOrder,Age
7.2,4063,F,1,0,0,1,1,0,0,2,0
7.2,4063,F,1,5.225,9.115,1,1,2,1,4,0
7.2,4068,F,1,70.114,900,1,0,1,1,2,0
7.2,4068,F,1,0.924,1.449,1,1,0,0,3,0
7.2,4068,F,1,0,6.361,1,1,2,1,4,0
8.2,4037,M,0,5.625,8.946,1,1,2,1,1,0
8.2,4037,M,0,0.295,2.51,1,1,0,0,3,0
8.2,4037,M,0,108.715,900,1,0,1,1,6,0
8.2,4038,M,0,72.65,75.245,1,1,0,0,1,0
8.2,4038,M,0,695.879,900,1,0,1,1,2,0
8.2,4038,M,0,111.226,900,1,0,2,1,6,0
9,4048,M,0,98.76,900,1,0,2,1,2,0
9,4049,M,0,1.75,5.519,1,1,0,0,2,0
9,4049,M,0,12.009,79.855,1,1,2,1,5,0
9,4049,M,0,203.341,478.585,1,1,1,1,6,0
9,4052,F,0,8.26,9.325,1,1,2,1,6,0
9,4052,F,0,13.751,14.875,1,1,0,0,1,0
9,4052,F,0,294.7,586.85,1,1,1,1,4,0
10,4065,F,1,11.91,13.65,1,1,0,0,2,0
10,4065,F,1,26.005,41.655,1,1,2,1,4,0
10,4066,F,1,24.425,35.684,1,1,2,1,3,0
10,4066,F,1,0,3.67,1,1,0,0,4,0
10,4066,F,1,900,900,0,0,1,1,5,0
10,4067,M,1,47.8,90.799,1,1,2,1,2,0
10,4067,M,1,900,900,0,0,1,1,5,0
10,4067,M,1,5.4,23.509,1,1,0,0,6,0
11,4074,F,1,3.519,4.475,1,1,0,0,2,0
11,4074,F,1,87.625,900,1,0,1,1,3,0
11,4074,F,1,88.509,794.174,1,1,2,1,4,0
11,4075,M,1,102.481,195.945,1,1,2,1,1,0
11,4075,M,1,7.279,11.029,1,1,0,0,3,0
11,4075,M,1,900,900,0,0,1,1,5,0
11,4076,M,1,0,1.064,1,1,0,0,1,0
11,4076,M,1,101.72,900,1,0,2,1,4,0
12,4069,F,0,0,8.046,1,1,0,0,1,0
12,4069,F,0,0,2.367,1,1,2,1,2,0
12,4069,F,0,0,61.92,1,1,1,1,5,0
12,4070,M,0,194.294,900,1,0,1,1,3,0
12,4070,M,0,43.811,56.6,1,1,2,1,5,0
12,4070,M,0,0,0,1,1,0,0,6,0
12,4071,F,0,15.332,876.838,1,1,1,1,1,0
12,4071,F,0,0.624,2.545,1,1,2,1,2,0
12,4071,F,0,0,0,1,1,0,0,5,0
12,4072,F,0,0,38.13,1,1,2,1,3,0
12,4072,F,0,0,1.694,1,1,0,0,5,0
12,4072,F,0,900,900,0,0,1,1,6,0
12,4073,M,0,900,900,0,0,1,1,2,0
12,4073,M,0,900,900,0,0,2,1,4,0
12,4073,M,0,2.02,3.883,1,1,0,0,5,0
14,4161,M,0,241.626,243.801,1,1,0,0,2,0
14,4161,M,0,200.866,900,1,0,1,1,4,0
14,4161,M,0,50.19,55.32,1,1,2,1,6,0
14,4163,M,0,0,0,1,1,0,0,3,0
14,4163,M,0,6.696,207.201,1,1,2,1,4,0
14,4164,M,0,900,900,0,0,1,1,1,0
14,4164,M,0,0,0,1,1,0,0,3,0
14,4165,F,0,0,80.825,1,1,2,1,2,0
14,4165,F,0,0,0,1,1,0,0,3,0
14,4165,F,0,31.27,900,1,0,1,1,4,0
14,4166,M,0,544.466,900,1,0,2,1,1,0
14,4166,M,0,8.92,9.335,1,1,0,0,2,0
14,4166,M,0,674.186,900,1,0,1,1,4,0
15,4129,M,1,511.67,900,1,0,1,1,1,0
15,4129,M,1,0,0,1,1,0,0,2,0
15,4129,M,1,97.424,900,1,0,2,1,3,0
15,4130,F,1,1.711,900,1,0,1,1,1,0
15,4130,F,1,244.47,246.65,1,1,2,1,2,0
15,4130,F,1,0,2.385,1,1,0,0,5,0
15,4131,F,1,175.73,420.128,1,1,2,1,1,0
15,4131,F,1,0,1.418,1,1,0,0,2,0
15,4131,F,1,482.368,900,1,0,1,1,5,0
15,4132,M,1,11.571,12.74,1,1,0,0,1,0
15,4132,M,1,108.75,469.36,1,1,2,1,4,0
15,4132,M,1,214.245,900,1,0,1,1,5,0
15,4133,M,1,28.014,900,1,0,2,1,1,0
16,4059,M,0,2.799,6.854,1,1,2,1,2,0
16,4059,M,0,0,0,1,1,0,0,3,0
16,4059,M,0,13.33,791.061,1,1,1,1,6,0
16,4060,M,0,27.22,27.947,1,1,0,0,1,0
16,4060,M,0,108.125,900,1,0,1,1,2,0
16,4060,M,0,10.065,34.304,1,1,2,1,6,0
16,4061,F,0,107.78,654.495,1,1,1,1,6,0
16,4061,F,0,8.201,24.025,1,1,2,1,3,0
16,4061,F,0,0,0,1,1,0,0,4,0
17,4086,M,1,6.979,10.329,1,1,0,0,1,0
17,4086,M,1,900,900,0,0,1,1,4,0
17,4086,M,1,54.255,900,1,0,2,1,6,0
17,4087,M,1,27.06,750.374,1,1,2,1,3,0
17,4087,M,1,151.286,900,1,0,1,1,4,0
19,4094,F,0,27.439,900,1,0,1,1,2,0
19,4094,F,0,0.045,2.74,1,1,0,0,3,0
19,4094,F,0,3.06,4.361,1,1,2,1,4,0
19,4095,F,0,102.974,900,1,0,1,1,1,0
19,4095,F,0,61.866,68.665,1,1,2,1,3,0
19,4095,F,0,0,0,1,1,0,0,5,0
19,4099,M,0,6.894,8.966,1,1,1,1,1,0
19,4099,M,0,0,0,1,1,0,0,3,0
19,4099,M,0,38.2,45.584,1,1,2,1,5,0
20,4090,M,1,137.165,778.326,1,1,1,1,4,0
20,4090,M,1,0,0,1,1,0,0,5,0
20,4090,M,1,0,0,1,1,2,1,6,0
20,4091,F,1,2.814,7.161,1,1,2,1,1,0
20,4091,F,1,2.395,6.199,1,1,0,0,2,0
20,4091,F,1,0,900,1,0,1,1,4,0
22,4140,M,1,33.105,42.273,1,1,2,1,2,0
22,4140,M,1,334.969,900,1,0,1,1,3,0
22,4140,M,1,13.05,13.858,1,1,0,0,6,0
22,4141,M,1,0,3.938,1,1,0,0,2,0
22,4141,M,1,129.021,900,1,0,1,1,4,0
22,4145,F,1,476.016,477.85,1,1,0,0,5,0
